Source,Target,Type,Weight
0,2,Directed,31.0
0,12,Directed,1.0
0,21,Directed,1.0
2,0,Directed,13.0
2,4,Directed,1.0
2,16,Directed,1.0
3,16,Directed,18.0
3,22,Directed,32.0
4,0,Directed,2.0
4,2,Directed,15.0
4,4,Directed,2.0
4,6,Directed,1.0
4,7,Directed,1.0
4,13,Directed,1.0
4,14,Directed,1.0
4,15,Directed,3.0
4,16,Directed,5.0
4,20,Directed,5.0
4,21,Directed,3.0
4,22,Directed,1.0
4,24,Directed,4.0
4,25,Directed,2.0
5,5,Directed,1.0
5,16,Directed,1.0
5,18,Directed,7.0
5,20,Directed,5.0
5,21,Directed,9.0
5,23,Directed,2.0
6,15,Directed,1.0
6,16,Directed,1.0
7,4,Directed,1.0
7,6,Directed,1.0
7,20,Directed,1.0
7,24,Directed,1.0
7,25,Directed,1.0
9,12,Directed,1.0
10,10,Directed,3.0
10,20,Directed,22.0
11,1,Directed,2.0
11,25,Directed,1.0
12,0,Directed,1.0
12,8,Directed,1.0
13,1,Directed,5.0
13,2,Directed,4.0
13,3,Directed,2.0
13,4,Directed,5.0
13,11,Directed,5.0
13,13,Directed,1.0
13,14,Directed,1.0
13,15,Directed,1.0
13,25,Directed,4.0
14,21,Directed,1.0
15,2,Directed,1.0
15,4,Directed,1.0
15,20,Directed,8.0
15,21,Directed,1.0
15,22,Directed,1.0
16,3,Directed,10.0
16,16,Directed,1.0
16,20,Directed,5.0
16,22,Directed,9.0
17,4,Directed,1.0
17,20,Directed,1.0
18,3,Directed,1.0
18,5,Directed,3.0
18,16,Directed,1.0
18,18,Directed,1.0
18,21,Directed,6.0
19,2,Directed,1.0
19,6,Directed,2.0
19,16,Directed,1.0
19,17,Directed,1.0
19,20,Directed,2.0
19,21,Directed,1.0
21,3,Directed,2.0
21,5,Directed,1.0
21,18,Directed,5.0
21,22,Directed,1.0
22,3,Directed,90.0
22,15,Directed,6.0
22,16,Directed,54.0
22,18,Directed,1.0
22,20,Directed,5.0
23,5,Directed,1.0
23,17,Directed,1.0
23,18,Directed,2.0
23,21,Directed,1.0
24,15,Directed,1.0
24,20,Directed,1.0
25,0,Directed,1.0
25,1,Directed,5.0
25,2,Directed,1.0
25,4,Directed,2.0
25,11,Directed,4.0
25,13,Directed,1.0
25,25,Directed,1.0